성별,순위,그룹,흥행점수,A기여,B기여,C기여,D기여,E기여,A,B,C,D,E,플래그
여자,1,키키,78.0,27.6,15.5,18.4,12.4,4.1,0.79,0.77,0.92,0.82,0.41,
여자,2,리센느,73.9,35.0,17.6,17.0,0.0,4.3,1.0,0.88,0.85,0,0.43,
여자,3,하츠투하츠,68.2,29.5,13.6,10.6,12.4,2.1,0.84,0.68,0.53,0.83,0.21,
여자,4,레드벨벳,65.7,23.1,10.1,19.1,10.0,3.4,0.66,0.51,0.96,0.66,0.34,
여자,5,에스파,63.3,31.7,10.8,18.9,0.0,1.8,0.91,0.54,0.95,0,0.18,
여자,6,아일릿,61.8,28.3,11.7,10.2,9.9,1.8,0.81,0.58,0.51,0.66,0.18,
여자,7,프로미스나인,58.3,23.5,8.3,16.4,7.7,2.4,0.67,0.42,0.82,0.51,0.24,
여자,8,키스오브라이프,54.7,13.7,9.1,18.2,11.2,2.5,0.39,0.45,0.91,0.75,0.25,
여자,9,베이비몬스터,48.8,15.5,10.9,10.1,10.6,1.7,0.44,0.55,0.51,0.71,0.17,
여자,10,블랙핑크,48.6,16.2,10.1,18.6,0.0,3.8,0.46,0.5,0.93,0,0.38,
여자,11,아이브,44.7,21.4,11.1,9.7,0.0,2.5,0.61,0.55,0.49,0,0.25,
여자,12,엔믹스,44.4,24.1,9.2,9.6,0.0,1.6,0.69,0.46,0.48,0,0.16,
여자,13,르세라핌,43.0,20.8,10.8,10.0,0.0,1.4,0.59,0.54,0.5,0,0.14,
여자,14,아르테미스,40.3,0.0,10.3,16.4,10.8,2.9,0,0.51,0.82,0.72,0.29,
여자,15,뉴진스,39.9,18.6,9.8,10.1,0.0,1.4,0.53,0.49,0.5,0,0.14,
여자,16,아워벌스데이,38.9,0.0,9.6,15.7,10.9,2.7,0,0.48,0.79,0.73,0.27,
여자,17,튜이드,38.4,9.8,0.0,12.1,8.8,7.8,0.28,0,0.6,0.59,0.78,신규데뷔 🔍차트외화제-verify(음방有)
여자,18,미야오,35.8,13.1,11.2,9.5,0.0,2.0,0.37,0.56,0.47,0,0.2,
여자,19,트와이스,34.5,11.6,9.8,10.8,0.0,2.3,0.33,0.49,0.54,0,0.23,
여자,20,아이들,32.8,12.8,8.9,10.0,0.0,1.0,0.37,0.45,0.5,0,0.1,
여자,21,오마이걸,31.5,8.6,1.1,9.1,10.4,2.2,0.25,0.06,0.45,0.69,0.22,
여자,22,오드유스,31.5,0.0,8.1,13.3,8.3,1.8,0,0.4,0.66,0.55,0.18,
여자,23,있지,30.1,9.8,9.6,9.4,0.0,1.3,0.28,0.48,0.47,0,0.13,
여자,24,키비츠,29.2,0.0,18.3,7.4,3.1,0.5,0,0.91,0.37,0.21,0.05,
여자,25,앳하트,28.7,0.0,9.1,8.0,8.8,2.9,0,0.45,0.4,0.59,0.29,
여자,26,하이키,28.7,10.6,8.4,8.2,0.0,1.4,0.3,0.42,0.41,0,0.14,
여자,27,피프티피프티,28.6,7.8,9.2,10.3,0.0,1.3,0.22,0.46,0.51,0,0.13,
여자,28,이즈나,27.1,8.2,8.8,8.7,0.0,1.4,0.23,0.44,0.43,0,0.14,
여자,29,올데이프로젝트,26.4,14.2,0.8,9.2,0.0,2.2,0.41,0.04,0.46,0,0.22,
여자,30,이프아이,25.0,0.0,9.0,15.2,0.0,0.7,0,0.45,0.76,0,0.07,
여자,31,유니스,24.1,0.0,8.7,15.4,0.0,0.0,0,0.44,0.77,0,0.0,
여자,32,스텔라라이브,23.4,0.0,9.7,13.3,0.0,0.5,0,0.48,0.66,0,0.05,
여자,33,큐더블유이알,23.3,10.9,2.3,8.4,0.0,1.6,0.31,0.12,0.42,0,0.16,
여자,34,비비지,22.1,3.8,0.6,15.6,0.0,2.0,0.11,0.03,0.78,0,0.2,
여자,35,아이리제,21.5,0.0,8.3,12.6,0.0,0.6,0,0.41,0.63,0,0.06,
여자,36,우당탕탕 소녀단,21.3,0.0,0.8,12.4,7.3,0.8,0,0.04,0.62,0.49,0.08,
여자,37,언차일드,20.1,0.0,11.2,7.9,0.0,1.0,0,0.56,0.39,0,0.1,
여자,38,아이칠린,19.9,0.0,6.8,12.2,0.0,1.0,0,0.34,0.61,0,0.1,
여자,39,븨븨에스,19.9,0.0,6.9,12.4,0.0,0.6,0,0.34,0.62,0,0.06,
여자,40,스테이씨,19.6,9.2,0.7,8.7,0.0,1.1,0.26,0.03,0.43,0,0.11,
여자,41,빌리,19.4,1.0,8.6,8.8,0.0,1.0,0.03,0.43,0.44,0,0.1,
여자,42,에스투잇,18.7,0.0,7.1,10.8,0.0,0.7,0,0.36,0.54,0,0.07,
여자,43,세이마이네임,18.1,0.0,8.4,7.9,0.0,1.8,0,0.42,0.4,0,0.18,
여자,44,레이턴시,17.5,0.0,1.4,13.6,0.0,2.4,0,0.07,0.68,0,0.24,
여자,45,트리플에스,17.3,0.0,6.8,8.8,0.0,1.7,0,0.34,0.44,0,0.17,
여자,46,영파씨,17.2,0.0,8.3,8.1,0.0,0.7,0,0.42,0.41,0,0.07,
여자,47,드림캐쳐,17.1,0.0,0.6,15.8,0.0,0.7,0,0.03,0.79,0,0.07,
여자,48,키라스,16.9,0.0,9.2,6.9,0.0,0.7,0,0.46,0.35,0,0.07,
여자,49,유스피어,16.8,0.0,8.4,7.5,0.0,1.0,0,0.42,0.38,0,0.1,
여자,50,우아,16.8,0.0,7.8,8.3,0.0,0.7,0,0.39,0.41,0,0.07,
여자,51,버비,16.5,0.0,6.0,10.0,0.0,0.5,0,0.3,0.5,0,0.05,
여자,52,위클리,16.2,0.0,0.8,14.9,0.0,0.5,0,0.04,0.74,0,0.05,
여자,53,위나,16.0,0.0,6.6,8.9,0.0,0.6,0,0.33,0.44,0,0.06,
여자,54,힛지스,16.0,0.0,7.9,7.3,0.0,0.9,0,0.39,0.36,0,0.09,
여자,55,아이몬드,15.9,0.0,6.8,8.6,0.0,0.5,0,0.34,0.43,0,0.05,
여자,56,클라씨,15.8,0.0,8.0,7.1,0.0,0.7,0,0.4,0.35,0,0.07,
여자,57,시크릿넘버,15.7,0.0,0.3,14.9,0.0,0.6,0,0.01,0.74,0,0.06,
여자,58,아트비트,15.2,0.0,8.2,6.3,0.0,0.6,0,0.41,0.32,0,0.06,
여자,59,메이딘,15.1,0.0,8.1,7.1,0.0,0.0,0,0.4,0.35,0,0.0,
