collected_date,video_id,group,label_channel,label_name,title,published,duration,views,likes,comments,like_ratio,comment_ratio,source
2026-05-17,vvShNAb-JvQ,BOYNEXTDOOR,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,BOYNEXTDOOR '똑똑똑' Official MV #BOYNEXTDOOR #보이넥스트도어 #BND #HOME #똑똑똑,2026-05-10,25,155434,15504,239,0.099747,0.001538,label_channel
2026-05-17,jWzX6-Zlz8k,&TEAM,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,&TEAM 'Bewitched' Official MV | 'The Witch of Yerasah' Animated Film,2026-05-10,188,1113889,18605,782,0.016703,0.000702,label_channel
2026-05-17,WxGWMI2B7r8,BOYNEXTDOOR,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,BOYNEXTDOOR (보이넥스트도어) '똑똑똑' Official MV,2026-05-10,167,7145600,192327,15865,0.026915,0.00222,label_channel
2026-05-17,we0iGfysR8M,ILLIT,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,ILLIT (아일릿) 'It’s Me’ Official MV (WONHEE ver.),2026-05-01,19,1781727,116938,943,0.065632,0.000529,label_channel
2026-05-17,bMhDJ0S0OBA,ILLIT,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,ILLIT (아일릿) ‘It’s Me’ Official MV,2026-04-30,147,28708739,560168,28615,0.019512,0.000997,label_channel
2026-05-17,MiO16KlMPaU,TWS,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,"TWS (투어스) '널 따라가 (You, You)' Official MV",2026-04-27,174,21031081,106695,12319,0.005073,0.000586,label_channel
2026-05-17,a2grcJdfXmY,LE SSERAFIM,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,LE SSERAFIM (르세라핌) 'CELEBRATION' OFFICIAL MV,2026-04-24,189,9302647,398531,17394,0.042841,0.00187,label_channel
2026-05-17,jOnLqqDRfY4,TXT,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,TXT (투모로우바이투게더) '하루에 하루만 더 (Stick With You)' Official MV,2026-04-13,278,28602996,457776,69100,0.016004,0.002416,label_channel
2026-05-17,8hU6P7MmRyk,&TEAM,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,&TEAM 'We on Fire' Official MV,2026-04-12,245,38892923,129487,20719,0.003329,0.000533,label_channel
2026-05-17,-PKlaysylPA,KATSEYE,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,PINKY UP!! song and official video out now 🩷 #KATSEYE_PINKYUP #KATSEYE #PINKYUP,2026-04-09,30,304056,24669,1852,0.081133,0.006091,label_channel
2026-05-17,7F1ET2XHQfk,KATSEYE,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,"KATSEYE (캣츠아이) ""PINKY UP"" Official MV",2026-04-09,182,40567169,982842,148037,0.024228,0.003649,label_channel
2026-05-17,BHoSWSU5jfo,BTS,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,#BTS #방탄소년단 ‘Hooligan' MV OUT NOW #BTS_ARIRANG #Hooligan,2026-04-07,41,1360453,162766,2424,0.119641,0.001782,label_channel
2026-05-17,diBO0gMuTXo,BTS,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,BTS (방탄소년단) 'Hooligan' Official MV,2026-04-07,244,49717465,2964536,155759,0.059628,0.003133,label_channel
2026-05-17,7c0QVWIIics,BTS,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,#BTS #방탄소년단 ‘2.0' MV OUT NOW #BTS_ARIRANG #2point0,2026-04-01,26,946100,118378,1601,0.125122,0.001692,label_channel
2026-05-17,_gyultVTesk,BTS,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,BTS (방탄소년단) '2.0' Official MV,2026-04-01,235,91033981,4240405,260246,0.04658,0.002859,label_channel
2026-05-17,b4iVv91Z6lY,BTS,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,BTS (방탄소년단) ‘SWIM’ Official MV,2026-03-20,245,119632362,6522372,1117625,0.05452,0.009342,label_channel
