date,group,rank,subscribers,source
2025-03-17,BLACKPINK,14,96100000,playboard_global_rank
2025-03-17,E'LAST,261335,288000,playboard_global_rank
2025-03-24,BLACKPINK,14,96200000,playboard_global_rank
2025-03-24,E'LAST,263333,287000,playboard_global_rank
2025-03-31,BLACKPINK,14,96200000,playboard_global_rank
2025-03-31,E'LAST,264428,287000,playboard_global_rank
2025-04-07,BLACKPINK,15,96300000,playboard_global_rank
2025-04-07,E'LAST,265566,287000,playboard_global_rank
2025-04-14,BLACKPINK,15,96300000,playboard_global_rank
2025-04-14,E'LAST,266611,287000,playboard_global_rank
2025-04-21,BLACKPINK,15,96400000,playboard_global_rank
2025-04-21,E'LAST,267692,287000,playboard_global_rank
2025-04-28,BLACKPINK,15,96400000,playboard_global_rank
2025-04-28,E'LAST,268746,287000,playboard_global_rank
2025-05-05,BLACKPINK,15,96500000,playboard_global_rank
2025-05-05,E'LAST,269748,287000,playboard_global_rank
2025-05-12,BLACKPINK,15,96600000,playboard_global_rank
2025-05-12,E'LAST,270865,287000,playboard_global_rank
2025-05-19,BLACKPINK,15,96600000,playboard_global_rank
2025-05-19,E'LAST,271954,287000,playboard_global_rank
2025-05-26,BLACKPINK,15,96700000,playboard_global_rank
2025-05-26,E'LAST,273028,287000,playboard_global_rank
2025-06-02,BLACKPINK,15,96700000,playboard_global_rank
2025-06-02,E'LAST,274075,287000,playboard_global_rank
2025-06-09,BLACKPINK,15,96800000,playboard_global_rank
2025-06-09,E'LAST,275199,287000,playboard_global_rank
2025-06-16,BLACKPINK,15,96800000,playboard_global_rank
2025-06-16,E'LAST,276245,287000,playboard_global_rank
2025-06-23,BLACKPINK,15,96900000,playboard_global_rank
2025-06-23,E'LAST,277302,287000,playboard_global_rank
2025-06-30,BLACKPINK,15,97000000,playboard_global_rank
2025-06-30,E'LAST,278335,287000,playboard_global_rank
2025-07-07,BLACKPINK,15,97100000,playboard_global_rank
2025-07-07,E'LAST,279288,287000,playboard_global_rank
2025-07-14,BLACKPINK,15,97700000,playboard_global_rank
2025-07-14,E'LAST,280213,287000,playboard_global_rank
2025-07-21,BLACKPINK,15,97900000,playboard_global_rank
2025-07-21,E'LAST,281217,287000,playboard_global_rank
2025-07-28,BLACKPINK,15,98100000,playboard_global_rank
2025-07-28,E'LAST,282288,287000,playboard_global_rank
2025-08-04,BLACKPINK,15,98200000,playboard_global_rank
2025-08-04,E'LAST,283183,287000,playboard_global_rank
2025-08-11,BLACKPINK,15,98400000,playboard_global_rank
2025-08-11,E'LAST,284199,287000,playboard_global_rank
2025-08-18,BLACKPINK,15,98500000,playboard_global_rank
2025-08-18,E'LAST,285200,287000,playboard_global_rank
2025-08-25,BLACKPINK,15,98600000,playboard_global_rank
2025-08-25,E'LAST,286271,287000,playboard_global_rank
2025-09-01,BLACKPINK,15,98600000,playboard_global_rank
2025-09-01,E'LAST,288140,286000,playboard_global_rank
2025-09-08,BLACKPINK,15,98700000,playboard_global_rank
2025-09-08,E'LAST,289154,286000,playboard_global_rank
2025-09-15,BLACKPINK,15,98800000,playboard_global_rank
2025-09-15,E'LAST,290076,286000,playboard_global_rank
2025-09-22,BLACKPINK,15,98900000,playboard_global_rank
2025-09-22,E'LAST,291046,286000,playboard_global_rank
2025-09-29,BLACKPINK,15,98900000,playboard_global_rank
2025-09-29,E'LAST,291961,286000,playboard_global_rank
2025-10-06,BLACKPINK,15,99000000,playboard_global_rank
2025-10-06,E'LAST,292901,286000,playboard_global_rank
2025-10-13,BLACKPINK,15,99000000,playboard_global_rank
2025-10-13,E'LAST,293859,286000,playboard_global_rank
2025-10-20,BLACKPINK,15,99100000,playboard_global_rank
2025-10-20,E'LAST,294776,286000,playboard_global_rank
2025-10-27,BLACKPINK,15,99200000,playboard_global_rank
2025-10-27,E'LAST,295742,286000,playboard_global_rank
2025-11-03,BLACKPINK,15,99200000,playboard_global_rank
2025-11-03,E'LAST,296643,286000,playboard_global_rank
2025-11-10,BLACKPINK,15,99200000,playboard_global_rank
2025-11-10,E'LAST,297502,286000,playboard_global_rank
2025-11-17,BLACKPINK,15,99300000,playboard_global_rank
2025-11-17,E'LAST,299426,285000,playboard_global_rank
2025-11-24,BLACKPINK,15,99300000,playboard_global_rank
2025-11-24,E'LAST,300263,285000,playboard_global_rank
2025-12-01,BLACKPINK,15,99400000,playboard_global_rank
2025-12-01,E'LAST,301029,285000,playboard_global_rank
2025-12-08,BLACKPINK,15,99400000,playboard_global_rank
2025-12-08,E'LAST,301759,285000,playboard_global_rank
2025-12-15,BLACKPINK,15,99400000,playboard_global_rank
2025-12-15,E'LAST,302610,285000,playboard_global_rank
2025-12-22,BLACKPINK,15,99500000,playboard_global_rank
2025-12-22,E'LAST,303427,285000,playboard_global_rank
2025-12-29,BLACKPINK,16,99500000,playboard_global_rank
2025-12-29,E'LAST,304279,285000,playboard_global_rank
