date,group,subscribers,new_subscribers,source
2025-03-17,E'LAST,261335,288000,playboard_daily
2025-03-24,E'LAST,263333,287000,playboard_daily
2025-03-31,E'LAST,264428,287000,playboard_daily
2025-04-07,E'LAST,265566,287000,playboard_daily
2025-04-14,E'LAST,266611,287000,playboard_daily
2025-04-21,E'LAST,267692,287000,playboard_daily
2025-04-28,E'LAST,268746,287000,playboard_daily
2025-05-05,E'LAST,269748,287000,playboard_daily
2025-05-12,E'LAST,270865,287000,playboard_daily
2025-05-19,E'LAST,271954,287000,playboard_daily
2025-05-26,E'LAST,273028,287000,playboard_daily
2025-06-02,E'LAST,274075,287000,playboard_daily
2025-06-09,E'LAST,275199,287000,playboard_daily
2025-06-16,E'LAST,276245,287000,playboard_daily
2025-06-23,E'LAST,277302,287000,playboard_daily
2025-06-30,E'LAST,278335,287000,playboard_daily
2025-07-07,E'LAST,279288,287000,playboard_daily
2025-07-14,E'LAST,280213,287000,playboard_daily
2025-07-21,E'LAST,281217,287000,playboard_daily
2025-07-28,E'LAST,282288,287000,playboard_daily
2025-08-04,E'LAST,283183,287000,playboard_daily
2025-08-11,E'LAST,284199,287000,playboard_daily
2025-08-18,E'LAST,285200,287000,playboard_daily
2025-08-25,E'LAST,286271,287000,playboard_daily
2025-09-01,E'LAST,288140,286000,playboard_daily
2025-09-08,E'LAST,289154,286000,playboard_daily
2025-09-15,E'LAST,290076,286000,playboard_daily
2025-09-22,E'LAST,291046,286000,playboard_daily
2025-09-29,E'LAST,291961,286000,playboard_daily
2025-10-06,E'LAST,292901,286000,playboard_daily
2025-10-13,E'LAST,293859,286000,playboard_daily
2025-10-20,E'LAST,294776,286000,playboard_daily
2025-10-27,E'LAST,295742,286000,playboard_daily
2025-11-03,E'LAST,296643,286000,playboard_daily
2025-11-10,E'LAST,297502,286000,playboard_daily
2025-11-17,E'LAST,299426,285000,playboard_daily
2025-11-24,E'LAST,300263,285000,playboard_daily
2025-12-01,E'LAST,301029,285000,playboard_daily
2025-12-08,E'LAST,301759,285000,playboard_daily
2025-12-09,BLACKPINK,99400000,0,playboard_daily
2025-12-09,E'LAST,285000,0,playboard_daily
2025-12-10,BLACKPINK,99400000,0,playboard_daily
2025-12-10,E'LAST,285000,0,playboard_daily
2025-12-11,BLACKPINK,99400000,0,playboard_daily
2025-12-11,E'LAST,285000,0,playboard_daily
2025-12-12,BLACKPINK,99400000,0,playboard_daily
2025-12-12,E'LAST,285000,0,playboard_daily
2025-12-13,BLACKPINK,99400000,0,playboard_daily
2025-12-13,E'LAST,285000,0,playboard_daily
2025-12-14,BLACKPINK,99400000,0,playboard_daily
2025-12-14,E'LAST,285000,0,playboard_daily
2025-12-15,BLACKPINK,99400000,0,playboard_daily
2025-12-15,E'LAST,302610,285000,playboard_daily
2025-12-16,BLACKPINK,99400000,0,playboard_daily
2025-12-16,E'LAST,285000,0,playboard_daily
2025-12-17,BLACKPINK,99400000,0,playboard_daily
2025-12-17,E'LAST,285000,0,playboard_daily
2025-12-18,BLACKPINK,99400000,0,playboard_daily
2025-12-18,E'LAST,285000,0,playboard_daily
2025-12-19,BLACKPINK,99400000,0,playboard_daily
2025-12-19,E'LAST,285000,0,playboard_daily
2025-12-20,BLACKPINK,99400000,0,playboard_daily
2025-12-20,E'LAST,285000,0,playboard_daily
2025-12-21,BLACKPINK,99500000,100000,playboard_daily
2025-12-21,E'LAST,285000,0,playboard_daily
2025-12-22,BLACKPINK,99500000,0,playboard_daily
2025-12-22,E'LAST,303427,285000,playboard_daily
2025-12-23,BLACKPINK,99500000,0,playboard_daily
2025-12-23,E'LAST,285000,0,playboard_daily
2025-12-24,BLACKPINK,99500000,0,playboard_daily
2025-12-24,E'LAST,285000,0,playboard_daily
2025-12-25,BLACKPINK,99500000,0,playboard_daily
2025-12-25,E'LAST,285000,0,playboard_daily
2025-12-26,BLACKPINK,99500000,0,playboard_daily
2025-12-26,E'LAST,285000,0,playboard_daily
2025-12-27,BLACKPINK,99500000,0,playboard_daily
2025-12-27,E'LAST,285000,0,playboard_daily
2025-12-28,BLACKPINK,99500000,0,playboard_daily
2025-12-28,E'LAST,285000,0,playboard_daily
2025-12-29,BLACKPINK,99500000,0,playboard_daily
2025-12-29,E'LAST,304279,285000,playboard_daily
2025-12-30,BLACKPINK,99500000,0,playboard_daily
2025-12-30,E'LAST,285000,0,playboard_daily
2025-12-31,BLACKPINK,99500000,0,playboard_daily
2025-12-31,E'LAST,285000,0,playboard_daily
2026-01-01,BLACKPINK,99500000,0,playboard_daily
2026-01-01,E'LAST,285000,0,playboard_daily
2026-01-02,BLACKPINK,99500000,0,playboard_daily
2026-01-02,E'LAST,285000,0,playboard_daily
2026-01-03,BLACKPINK,99500000,0,playboard_daily
2026-01-03,E'LAST,285000,0,playboard_daily
2026-01-04,BLACKPINK,99500000,0,playboard_daily
2026-01-04,E'LAST,285000,0,playboard_daily
2026-01-05,BLACKPINK,99600000,100000,playboard_daily
2026-01-05,E'LAST,305097,285000,playboard_daily
2026-01-06,BLACKPINK,99600000,0,playboard_daily
2026-01-06,E'LAST,285000,0,playboard_daily
2026-01-07,BLACKPINK,99600000,0,playboard_daily
2026-01-07,E'LAST,285000,0,playboard_daily
2026-01-08,BLACKPINK,99600000,0,playboard_daily
2026-01-08,E'LAST,285000,0,playboard_daily
2026-01-09,BLACKPINK,99600000,0,playboard_daily
2026-01-09,E'LAST,285000,0,playboard_daily
2026-01-10,BLACKPINK,99600000,0,playboard_daily
2026-01-10,E'LAST,285000,0,playboard_daily
2026-01-11,BLACKPINK,99600000,0,playboard_daily
2026-01-11,E'LAST,285000,0,playboard_daily
2026-01-12,BLACKPINK,99600000,0,playboard_daily
2026-01-12,E'LAST,305819,285000,playboard_daily
2026-01-13,BLACKPINK,99600000,0,playboard_daily
2026-01-13,E'LAST,285000,0,playboard_daily
2026-01-14,BLACKPINK,99600000,0,playboard_daily
2026-01-14,E'LAST,285000,0,playboard_daily
2026-01-15,BLACKPINK,99600000,0,playboard_daily
2026-01-15,E'LAST,285000,0,playboard_daily
2026-01-16,BLACKPINK,99600000,0,playboard_daily
2026-01-16,E'LAST,285000,0,playboard_daily
2026-01-17,BLACKPINK,99600000,0,playboard_daily
2026-01-17,E'LAST,285000,0,playboard_daily
2026-01-18,BLACKPINK,99700000,100000,playboard_daily
2026-01-18,E'LAST,285000,0,playboard_daily
2026-01-19,BLACKPINK,99700000,0,playboard_daily
2026-01-19,E'LAST,306641,285000,playboard_daily
2026-01-20,BLACKPINK,99700000,0,playboard_daily
2026-01-20,E'LAST,285000,0,playboard_daily
2026-01-21,BLACKPINK,99700000,0,playboard_daily
2026-01-21,E'LAST,285000,0,playboard_daily
2026-01-22,BLACKPINK,99700000,0,playboard_daily
2026-01-22,E'LAST,285000,0,playboard_daily
2026-01-23,BLACKPINK,99700000,0,playboard_daily
2026-01-23,E'LAST,285000,0,playboard_daily
2026-01-24,BLACKPINK,99700000,0,playboard_daily
2026-01-24,E'LAST,285000,0,playboard_daily
2026-01-25,BLACKPINK,99700000,0,playboard_daily
2026-01-25,E'LAST,285000,0,playboard_daily
2026-01-26,BLACKPINK,99700000,0,playboard_daily
2026-01-26,E'LAST,307496,285000,playboard_daily
2026-01-27,BLACKPINK,99700000,0,playboard_daily
2026-01-27,E'LAST,285000,0,playboard_daily
2026-01-28,BLACKPINK,99700000,0,playboard_daily
2026-01-28,E'LAST,285000,0,playboard_daily
2026-01-29,BLACKPINK,99700000,0,playboard_daily
2026-01-29,E'LAST,285000,0,playboard_daily
2026-01-30,BLACKPINK,99700000,0,playboard_daily
2026-01-30,E'LAST,285000,0,playboard_daily
2026-01-31,BLACKPINK,99700000,0,playboard_daily
2026-01-31,E'LAST,285000,0,playboard_daily
2026-02-01,BLACKPINK,99700000,0,playboard_daily
2026-02-01,E'LAST,285000,0,playboard_daily
2026-02-02,BLACKPINK,99700000,0,playboard_daily
2026-02-02,E'LAST,308163,285000,playboard_daily
2026-02-03,BLACKPINK,99800000,100000,playboard_daily
2026-02-03,E'LAST,284000,-1000,playboard_daily
2026-02-04,BLACKPINK,99800000,0,playboard_daily
2026-02-04,E'LAST,284000,0,playboard_daily
2026-02-05,BLACKPINK,99800000,0,playboard_daily
2026-02-05,E'LAST,284000,0,playboard_daily
2026-02-06,BLACKPINK,99800000,0,playboard_daily
2026-02-06,E'LAST,284000,0,playboard_daily
