date,group,subscribers,source
2024-03-01,(G)I-DLE,8110000,historical
2024-03-01,82MAJOR,97200,historical
2024-03-01,8TURN,1220000,historical
2024-03-01,AB6IX,523000,historical
2024-03-01,AIMERS,54200,historical
2024-03-01,ALL(H)OURS,114000,historical
2024-03-01,AMPERS&ONE,119000,historical
2024-03-01,ARTBEAT v,4450000,historical
2024-03-01,ASTRO,5330000,historical
2024-03-01,ATBO,186000,historical
2024-03-01,ATEEZ,3790000,historical
2024-03-01,BABYMONSTER,4820000,historical
2024-03-01,BAE173,240000,historical
2024-03-01,BLACKPINK,93300000,historical
2024-03-01,BLACKSWAN,819000,historical
2024-03-01,BOYNEXTDOOR,729000,historical
2024-03-01,BTS,77700000,historical
2024-03-01,Billlie,662000,historical
2024-03-01,CIX,1040000,historical
2024-03-01,CLASS:y,314000,historical
2024-03-01,CRAVITY,799000,historical
2024-03-01,CSR,128000,historical
2024-03-01,Candy Shop,9450,historical
2024-03-01,DAY6,1970000,historical
2024-03-01,DKB,180000,historical
2024-03-01,DRIPPIN,179000,historical
2024-03-01,DXMON,43600,historical
2024-03-01,Dreamcatcher,1740000,historical
2024-03-01,ENHYPEN,9470000,historical
2024-03-01,EPEX,532000,historical
2024-03-01,EVERGLOW,1940000,historical
2024-03-01,EVNNE,632000,historical
2024-03-01,FANTASY BOYS,50500,historical
2024-03-01,"Golden Child, GNCD",388000,historical
2024-03-01,H1-KEY,349000,historical
2024-03-01,ICHILLIN',83700,historical
2024-03-01,ILLIT,469000,historical
2024-03-01,ILY:1,167000,historical
2024-03-01,ITZY,9080000,historical
2024-03-01,IVE,3430000,historical
2024-03-01,Ikon,8750000,historical
2024-03-01,KINGDOM,393000,historical
2024-03-01,KISS OF LIFE,914000,historical
2024-03-01,Kep1er,2490000,historical
2024-03-01,LE SSERAFIM,5100000,historical
2024-03-01,LIMELIGHT,77800,historical
2024-03-01,LUN8,459000,historical
2024-03-01,Loossemble,143000,historical
2024-03-01,MONSTA X,2570000,historical
2024-03-01,NCT 127,5570000,historical
2024-03-01,NCT DREAM,6770000,historical
2024-03-01,NINE.i,231000,historical
2024-03-01,NMIXX,2530000,historical
2024-03-01,NewJeans,6760000,historical
2024-03-01,OH MY GIRL,1040000,historical
2024-03-01,OMEGA X,368000,historical
2024-03-01,ONE PACT,98200,historical
2024-03-01,ONEUS,1560000,historical
2024-03-01,ONF,259000,historical
2024-03-01,P1Harmony,1020000,historical
2024-03-01,PENTAGON,1710000,historical
2024-03-01,PLAVE,626000,historical
2024-03-01,POW,67500,historical
2024-03-01,PURPLE KISS,685000,historical
2024-03-01,QWER,691000,historical
2024-03-01,RESCENE,49700,historical
2024-03-01,RIIZE,1020000,historical
2024-03-01,Red Velvet,5430000,historical
2024-03-01,Rocket Punch,209000,historical
2024-03-01,SECRET NUMBER,1640000,historical
2024-03-01,SEVENTEEN,10900000,historical
2024-03-01,SEVENUS,14900,historical
2024-03-01,SF9,1000000,historical
2024-03-01,STAYC,1710000,historical
2024-03-01,Stray Kids,15900000,historical
2024-03-01,TEMPEST,481000,historical
2024-03-01,THE BOYZ,2220000,historical
2024-03-01,THE NEW SIX,815000,historical
2024-03-01,TIOT,61400,historical
2024-03-01,TREASURE,7440000,historical
2024-03-01,TRI.BE,561000,historical
2024-03-01,TWICE,17100000,historical
2024-03-01,TWS,369000,historical
2024-03-01,TXT,11600000,historical
2024-03-01,The Wind,519000,historical
2024-03-01,UNIS,356000,historical
2024-03-01,VANNER,92700,historical
2024-03-01,VIVIZ,563000,historical
2024-03-01,WEi,691000,historical
2024-03-01,WHIB,462000,historical
2024-03-01,WJSN,302000,historical
