collected_date,video_id,group,channel_name,title,published,duration,views,likes,comments,like_ratio,comment_ratio,is_mv,is_short
2026-03-15,0LLFprdOHqo,BLACKPINK,블랙핑크,BLACKPINK - 'GO' M/V Behind the Scenes,2026-03-09,440,1942817,221590,8773,0.114056,0.004516,False,False
2026-03-15,k7JitOG5wVo,BLACKPINK,블랙핑크,BLACKPINK - ‘GO’ (Official Audio),2026-03-01,196,910152,64921,2979,0.07133,0.003273,False,False
2026-03-15,bgKZC7BgG-M,BLACKPINK,블랙핑크,BLACKPINK - ‘Fxxxboy’ (Official Audio),2026-03-01,188,1816592,124692,6990,0.068641,0.003848,False,False
2026-03-15,2GJfWMYCWY0,BLACKPINK,블랙핑크,BLACKPINK - ‘GO’ M/V,2026-02-27,202,51498125,3436218,286347,0.066725,0.00556,True,False
2026-03-15,TLH4ZhtdIV8,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN HONG KONG Behind the Scenes,2026-02-20,821,1163357,118767,7041,0.10209,0.006052,False,False
2026-03-15,K95-UsEVyJg,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN TOKYO Behind the Scenes,2026-02-13,463,909839,98092,5590,0.107812,0.006144,False,False
2026-03-15,vy_mB6QY-Sc,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN BANGKOK Behind the Scenes,2025-12-09,526,1833768,121878,6157,0.066463,0.003358,False,False
2026-03-15,W-9-keHNwV8,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN PARIS & LONDON Behind the Scenes,2025-09-11,665,4660099,158956,8382,0.03411,0.001799,False,False
2026-03-15,WB_AOdAEuBM,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN LA Behind the Scenes,2025-08-21,487,2281395,155913,7243,0.068341,0.003175,False,False
2026-03-15,zTnAvaoHR4I,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN GOYANG Behind the Scenes,2025-08-14,719,3993713,237422,10608,0.059449,0.002656,False,False
2026-03-15,P169hsXjYQs,BLACKPINK,블랙핑크,BLACKPINK - '뛰어(JUMP)' Live at WORLD TOUR [DEADLINE] IN GOYANG,2025-07-29,188,42499305,717205,16692,0.016876,0.000393,False,False
2026-03-15,OIT4-nkQVyo,BLACKPINK,블랙핑크,BLACKPINK - ‘뛰어(JUMP)’ M/V Behind the Scenes,2025-07-21,478,7148568,369479,11831,0.051686,0.001655,False,False
2026-03-15,CgCVZdcKcqY,BLACKPINK,블랙핑크,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,194,357534449,6536535,469436,0.018282,0.001313,True,False
2026-03-15,g4hprYkwJik,BLACKPINK,블랙핑크,BLACKPINK - 8TH ANNIVERSARY ‘OUR AREA’ RECAP VIDEO,2024-09-06,343,3135287,281477,14893,0.089777,0.00475,False,False
2026-03-15,6lw4Cbk1IzA,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Last Roll,2023-10-20,874,5060206,327248,18888,0.064671,0.003733,False,False
2026-03-15,Yl_rmlS4u9s,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #33,2023-10-13,786,2532776,163462,4734,0.064539,0.001869,False,False
2026-03-15,ZSc-zcWl2g8,BLACKPINK,블랙핑크,JENNIE - ‘You & Me’ [BORN PINK] WORLD TOUR STAGE MIX VIDEO,2023-10-08,186,12394704,508508,12557,0.041026,0.001013,False,False
2026-03-15,TIbItS4-4bQ,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #32,2023-10-06,617,2271426,153215,3370,0.067453,0.001484,False,False
2026-03-15,eQNHDV7lKgE,BLACKPINK,블랙핑크,JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO,2023-10-06,212,247917925,3805233,306645,0.015349,0.001237,False,False
2026-03-15,lEQVW6uRUz8,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #31,2023-09-29,459,3987187,247269,8330,0.062016,0.002089,False,False
2026-03-15,-bamhqJtLp4,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #30,2023-09-22,722,2287880,186408,5701,0.081476,0.002492,False,False
2026-03-15,D4SEVu4_Ko0,BLACKPINK,블랙핑크,BLACKPINK THE GAME OST 'THE GIRLS' CELEBRATION PARTY,2023-08-23,2615,3746972,320717,9863,0.085594,0.002632,False,False
2026-03-15,9c87NbLjH0I,BLACKPINK,블랙핑크,BLACKPINK - 7th ANNIVERSARY,2023-08-08,1307,6924793,774643,37186,0.111865,0.00537,False,False
2026-03-15,H7j9jY3WnrE,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #29,2023-07-28,844,3261514,193968,8989,0.059472,0.002756,False,False
2026-03-15,c-SMz9hiWZY,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #28,2023-07-21,629,2189648,167100,6153,0.076314,0.00281,False,False
2026-03-15,skcE1qZKLLo,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #27,2023-07-14,580,3005361,203168,7220,0.067602,0.002402,False,False
2026-03-15,vrZPnpaT3Ts,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #26,2023-07-07,777,2601317,185340,6988,0.071249,0.002686,False,False
2026-03-15,Jw_ZLkPQMsA,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #25,2023-06-30,578,3123129,187909,6352,0.060167,0.002034,False,False
2026-03-15,4o05ewiImmI,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #24,2023-06-23,711,3389236,242887,8971,0.071664,0.002647,False,False
2026-03-15,qyr13Idynm4,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #23,2023-06-16,599,4625464,260900,8247,0.056405,0.001783,False,False
2026-03-15,VLpUsmBafMQ,BLACKPINK,블랙핑크,BLACKPINK - ‘Pretty Savage’ Live at Coachella 2023,2023-06-15,226,114024619,1383324,26885,0.012132,0.000236,False,False
2026-03-15,7dP07oQSiUA,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #22,2023-06-09,634,4831753,240735,6544,0.049824,0.001354,False,False
2026-03-15,tS5a17Yytqk,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #21,2023-06-02,769,6877890,348557,8369,0.050678,0.001217,False,False
2026-03-15,z9tifvQSu-g,BLACKPINK,블랙핑크,BLACKPINK - ‘Typa Girl’ Live at Coachella 2023,2023-05-27,239,138676157,1877709,33519,0.01354,0.000242,False,False
2026-03-15,NpVJidAKOqc,BLACKPINK,블랙핑크,BLACKPINK - ‘Shut Down’ Live at Coachella 2023,2023-05-27,196,69496008,1019722,20039,0.014673,0.000288,False,False
2026-03-15,TPDkc5lb2yI,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #20,2023-05-26,772,3935638,247339,6768,0.062846,0.00172,False,False
2026-03-15,Pn_04ltdt00,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #19,2023-05-19,786,4855580,312442,8857,0.064347,0.001824,False,False
