collected_date,video_id,group,channel_name,title,published,duration,views,likes,comments,like_ratio,comment_ratio,is_mv,is_short
2026-03-10,0LLFprdOHqo,BLACKPINK,블랙핑크,BLACKPINK - 'GO' M/V Behind the Scenes,2026-03-09,440,862448,141394,7082,0.163945,0.008212,False,False
2026-03-10,k7JitOG5wVo,BLACKPINK,블랙핑크,BLACKPINK - ‘GO’ (Official Audio),2026-03-01,196,811259,62543,2913,0.077094,0.003591,False,False
2026-03-10,bgKZC7BgG-M,BLACKPINK,블랙핑크,BLACKPINK - ‘Fxxxboy’ (Official Audio),2026-03-01,188,1553812,119298,6810,0.076778,0.004383,False,False
2026-03-10,2GJfWMYCWY0,BLACKPINK,블랙핑크,BLACKPINK - ‘GO’ M/V,2026-02-27,202,45740237,3359045,280879,0.073437,0.006141,True,False
2026-03-10,TLH4ZhtdIV8,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN HONG KONG Behind the Scenes,2026-02-20,821,1139915,118100,7033,0.103604,0.00617,False,False
2026-03-10,K95-UsEVyJg,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN TOKYO Behind the Scenes,2026-02-13,463,900731,97802,5590,0.108581,0.006206,False,False
2026-03-10,vy_mB6QY-Sc,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN BANGKOK Behind the Scenes,2025-12-09,526,1824725,121668,6147,0.066677,0.003369,False,False
2026-03-10,W-9-keHNwV8,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN PARIS & LONDON Behind the Scenes,2025-09-11,665,4649840,158741,8387,0.034139,0.001804,False,False
2026-03-10,WB_AOdAEuBM,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN LA Behind the Scenes,2025-08-21,487,2276196,155822,7254,0.068457,0.003187,False,False
2026-03-10,zTnAvaoHR4I,BLACKPINK,블랙핑크,BLACKPINK - WORLD TOUR [DEADLINE] IN GOYANG Behind the Scenes,2025-08-14,719,3978225,237148,10613,0.059612,0.002668,False,False
2026-03-10,P169hsXjYQs,BLACKPINK,블랙핑크,BLACKPINK - '뛰어(JUMP)' Live at WORLD TOUR [DEADLINE] IN GOYANG,2025-07-29,188,42008444,714237,16652,0.017002,0.000396,False,False
2026-03-10,OIT4-nkQVyo,BLACKPINK,블랙핑크,BLACKPINK - ‘뛰어(JUMP)’ M/V Behind the Scenes,2025-07-21,478,7110171,368612,11825,0.051843,0.001663,False,False
2026-03-10,CgCVZdcKcqY,BLACKPINK,블랙핑크,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,194,354753500,6524024,468945,0.01839,0.001322,True,False
2026-03-10,g4hprYkwJik,BLACKPINK,블랙핑크,BLACKPINK - 8TH ANNIVERSARY ‘OUR AREA’ RECAP VIDEO,2024-09-06,343,3134151,281471,14899,0.089808,0.004754,False,False
2026-03-10,6lw4Cbk1IzA,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Last Roll,2023-10-20,874,5057724,327258,18891,0.064705,0.003735,False,False
2026-03-10,Yl_rmlS4u9s,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #33,2023-10-13,786,2531693,163465,4737,0.064567,0.001871,False,False
2026-03-10,ZSc-zcWl2g8,BLACKPINK,블랙핑크,JENNIE - ‘You & Me’ [BORN PINK] WORLD TOUR STAGE MIX VIDEO,2023-10-08,186,12372852,508274,12556,0.04108,0.001015,False,False
2026-03-10,TIbItS4-4bQ,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #32,2023-10-06,617,2270149,153208,3373,0.067488,0.001486,False,False
2026-03-10,eQNHDV7lKgE,BLACKPINK,블랙핑크,JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO,2023-10-06,212,247486298,3803128,306596,0.015367,0.001239,False,False
2026-03-10,lEQVW6uRUz8,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #31,2023-09-29,459,3985166,247163,8327,0.062021,0.002089,False,False
2026-03-10,-bamhqJtLp4,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #30,2023-09-22,722,2287038,186422,5702,0.081512,0.002493,False,False
2026-03-10,D4SEVu4_Ko0,BLACKPINK,블랙핑크,BLACKPINK THE GAME OST 'THE GIRLS' CELEBRATION PARTY,2023-08-23,2615,3744556,320680,9870,0.085639,0.002636,False,False
2026-03-10,9c87NbLjH0I,BLACKPINK,블랙핑크,BLACKPINK - 7th ANNIVERSARY,2023-08-08,1307,6922750,774619,37187,0.111895,0.005372,False,False
2026-03-10,H7j9jY3WnrE,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #29,2023-07-28,844,3260637,193977,8989,0.059491,0.002757,False,False
2026-03-10,c-SMz9hiWZY,BLACKPINK,블랙핑크,BLACKPINK - ‘B.P.M.’ Roll #28,2023-07-21,629,2188762,167096,6159,0.076343,0.002814,False,False
