video_id,group,title,published,snapshot_date,views,days_since_release
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-11,5500564,0
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-13,44813161,2
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-16,65097879,5
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-17,71747312,6
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-19,80235746,8
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-20,81397758,9
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-22,89512899,11
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-23,91864280,12
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-24,97384134,13
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-26,101569433,15
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-27,105012228,16
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-28,107277530,17
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-07-31,115999261,20
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-02,120779056,22
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-07,131438548,27
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-10,139117243,30
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-11,141817100,31
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-12,143500399,32
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-16,152190105,36
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-18,157206839,38
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-20,160561003,40
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-21,162980828,41
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-22,165117847,42
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-08-26,171705828,46
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-09-12,200573197,63
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-09-13,201938157,64
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-09-16,207420938,67
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-09-30,224984564,81
CgCVZdcKcqY,BLACKPINK,BLACKPINK - ‘뛰어(JUMP)’ M/V,2025-07-11,2025-10-24,252606155,105
